,0-2,3-6,7-14,15 и ст.
19,852.0,931.0,837.0,1936.0
20,720.0,696.0,537.0,1500.0
21,1253.0,1152.0,614.0,1120.0
22,1433.0,1277.0,810.0,2920.0
23,2853.0,3336.0,2583.0,8375.0
24,4015.0,5673.0,6003.0,12644.0
25,3902.0,5804.0,6765.0,13576.0
26,4506.0,6223.0,7437.0,17609.0
27,3724.0,4649.0,5315.0,15589.0
28,1043.0,1313.0,1327.0,4109.0
29,3833.0,4620.0,4950.0,14243.0
30,1559.0,1798.0,1627.0,3806.0
31,2932.0,3269.0,2577.0,8041.0
32,1776.0,1970.0,1014.0,4119.0
33,1038.0,1152.0,500.0,2388.0
34,300.0,322.0,184.0,658.0
35,471.0,506.0,344.0,1027.0
36,89.0,91.0,76.0,192.0
37,681.0,661.0,553.0,1415.0
38,192.0,179.0,135.0,385.0
39,1113.0,984.0,692.0,2144.0
40,662.0,609.0,405.0,1512.0
